EndDateTime,HighPX,LowPX,OpenPX,ClosePX,Volume,Bid,Ask,InstrumentId,BeginDateTime
1642628981059.0444,0.00015441,0.00015441,0.00015441,0.00015441,0,0.000154,0.00015441,40,1642628981059.0437
1642629120000,0.00015463,0.00015441,0.00015441,0.00015463,92155,0.000154,0.00015463,40,1642629060000
1642629120000,0.00015463,0.00015441,0.00015441,0.00015463,92155,0.000154,0.00015463,40,1642629060000
1642629120000,0.00015463,0.000154,0.00015441,0.000154,162640,0.000154,0.00015457,40,1642629060000
1642629120000,0.00015463,0.000154,0.00015441,0.000154,236640,0.000154,0.00015457,40,1642629060000
1642629120000,0.00015463,0.000154,0.00015441,0.000154,433133,0.000154,0.00015457,40,1642629060000
1642629120000,0.00015463,0.000154,0.00015441,0.000154,437033,0.000154,0.00015457,40,1642629060000
1642629120000,0.00015463,0.000154,0.00015441,0.000154,437227,0.000154,0.00015457,40,1642629060000
1642629120000,0.00015463,0.00015361,0.00015441,0.00015361,762726,0.000154,0.00015457,40,1642629060000
1642629120000,0.00015463,0.000153,0.00015441,0.000153,767176,0.000154,0.00015457,40,1642629060000
1642629120000,0.00015463,0.00015299,0.00015441,0.00015299,850972,0.000154,0.00015457,40,1642629060000
1642629120000,0.00015463,0.0001527,0.00015441,0.0001527,1034338,0.0001515,0.00015457,40,1642629060000
1642629120000,0.00015463,0.0001515,0.00015441,0.0001515,1034404,0.0001515,0.00015457,40,1642629060000
1642629120000,0.00015463,0.0001515,0.00015441,0.0001515,1064204,0.0001515,0.00015457,40,1642629060000
1642629120000,0.00015463,0.0001515,0.00015441,0.0001515,1064204,0.0001515,0.00015457,40,1642629060000
1642629161049.944,0.0001515,0.0001515,0.0001515,0.0001515,0,0.0001515,0.00015457,40,1642629161049.9436
1642629221055.6804,0.0001515,0.0001515,0.0001515,0.0001515,0,0.0001515,0.00015457,40,1642629161049.9436
1642629360000,0.0001515,0.0001515,0.0001515,0.0001515,320374,0.0001515,0.00015463,40,1642629300000
1642629360000,0.0001515,0.0001515,0.0001515,0.0001515,320374,0.0001515,0.00015463,40,1642629300000
1642629341049.4294,0.0001515,0.0001515,0.0001515,0.0001515,0,0.0001515,0.00015463,40,1642629300000
1642629480000,0.0001544,0.0001515,0.0001515,0.0001544,100,0.0001515,0.0001544,40,1642629420000
1642629480000,0.0001544,0.0001515,0.0001515,0.0001544,200,0.0001515,0.0001544,40,1642629420000
1642629480000,0.0001544,0.0001515,0.0001515,0.0001544,300,0.0001515,0.0001544,40,1642629420000
1642629480000,0.0001544,0.0001515,0.0001515,0.0001544,400,0.0001515,0.0001544,40,1642629420000
1642629480000,0.0001544,0.0001515,0.0001515,0.0001544,500,0.0001515,0.0001544,40,1642629420000
1642629480000,0.0001544,0.0001515,0.0001515,0.0001544,600,0.0001515,0.0001544,40,1642629420000
1642629480000,0.0001544,0.0001515,0.0001515,0.0001544,700,0.0001515,0.0001544,40,1642629420000
1642629480000,0.0001544,0.0001515,0.0001515,0.0001544,800,0.0001515,0.0001544,40,1642629420000
1642629480000,0.0001544,0.0001515,0.0001515,0.0001544,900,0.0001515,0.0001544,40,1642629420000
1642629480000,0.0001544,0.0001515,0.0001515,0.0001544,1000,0.0001515,0.0001544,40,1642629420000
1642629480000,0.0001544,0.0001515,0.0001515,0.0001544,1100,0.0001515,0.0001544,40,1642629420000
1642629480000,0.0001544,0.0001515,0.0001515,0.0001544,1200,0.0001515,0.0001544,40,1642629420000
1642629480000,0.0001544,0.0001515,0.0001515,0.0001544,1300,0.0001515,0.0001544,40,1642629420000
1642629480000,0.0001544,0.0001515,0.0001515,0.0001544,1400,0.0001515,0.0001544,40,1642629420000
1642629480000,0.0001544,0.0001515,0.0001515,0.0001544,1500,0.0001515,0.0001544,40,1642629420000
1642629480000,0.0001544,0.0001515,0.0001515,0.0001544,1600,0.0001515,0.0001544,40,1642629420000
1642629480000,0.0001544,0.0001515,0.0001515,0.0001544,1700,0.0001515,0.0001544,40,1642629420000
1642629480000,0.0001544,0.0001515,0.0001515,0.0001544,1800,0.0001515,0.0001544,40,1642629420000
1642629480000,0.0001544,0.0001515,0.0001515,0.0001544,1800,0.0001515,0.0001544,40,1642629420000
1642629480000,0.0001544,0.0001515,0.0001515,0.0001544,100,0.0001515,0.0001544,40,1642629420000
1642629480000,0.0001544,0.0001515,0.0001515,0.0001544,200,0.0001515,0.0001544,40,1642629420000
1642629480000,0.0001544,0.0001515,0.0001515,0.0001544,300,0.0001515,0.0001544,40,1642629420000
1642629480000,0.0001544,0.0001515,0.0001515,0.0001544,400,0.0001515,0.0001544,40,1642629420000
1642629480000,0.0001544,0.0001515,0.0001515,0.0001544,500,0.0001515,0.0001544,40,1642629420000
1642629480000,0.0001544,0.0001515,0.0001515,0.0001544,600,0.0001515,0.0001544,40,1642629420000
1642629480000,0.0001544,0.0001515,0.0001515,0.0001544,700,0.0001515,0.0001544,40,1642629420000
1642629480000,0.0001544,0.0001515,0.0001515,0.0001544,800,0.0001515,0.0001544,40,1642629420000
1642629480000,0.0001544,0.0001515,0.0001515,0.0001544,900,0.0001515,0.0001544,40,1642629420000
1642629480000,0.0001544,0.0001515,0.0001515,0.0001544,1000,0.0001515,0.0001544,40,1642629420000
1642629480000,0.0001544,0.0001515,0.0001515,0.0001544,1100,0.0001515,0.0001544,40,1642629420000
1642629480000,0.0001544,0.0001515,0.0001515,0.0001544,1200,0.0001515,0.0001544,40,1642629420000
1642629480000,0.0001544,0.0001515,0.0001515,0.0001544,1300,0.0001515,0.0001544,40,1642629420000
1642629480000,0.0001544,0.0001515,0.0001515,0.0001544,1400,0.0001515,0.0001544,40,1642629420000
1642629540000,0.0001544,0.0001544,0.0001544,0.0001544,100,0.0001515,0.0001544,40,1642629480000
1642629540000,0.0001544,0.0001544,0.0001544,0.0001544,200,0.0001515,0.0001544,40,1642629480000
1642629540000,0.0001544,0.0001544,0.0001544,0.0001544,300,0.0001515,0.0001544,40,1642629480000
1642629540000,0.0001544,0.0001544,0.0001544,0.0001544,400,0.0001515,0.0001544,40,1642629480000
1642629540000,0.0001544,0.0001544,0.0001544,0.0001544,500,0.0001515,0.0001544,40,1642629480000
1642629540000,0.0001544,0.0001544,0.0001544,0.0001544,600,0.0001515,0.0001544,40,1642629480000
1642629540000,0.0001544,0.0001544,0.0001544,0.0001544,700,0.0001515,0.0001544,40,1642629480000
1642629540000,0.0001544,0.0001544,0.0001544,0.0001544,800,0.0001515,0.0001544,40,1642629480000
1642629540000,0.0001544,0.00015435,0.0001544,0.00015435,900,0.0001515,0.00015435,40,1642629480000
1642629540000,0.0001544,0.00015435,0.0001544,0.00015435,1000,0.0001515,0.00015435,40,1642629480000
1642629540000,0.0001544,0.00015435,0.0001544,0.00015435,1100,0.0001515,0.00015435,40,1642629480000
