EndDateTime,HighPX,LowPX,OpenPX,ClosePX,Volume,Bid,Ask,InstrumentId,BeginDateTime,Operation
1642627920000,0.00015526,0.00015506,0.00015526,0.00015506,40951,0.000154,0.00015506,40,1642627860000,Buy
1642631040000,0.00015446,0.00015379,0.00015379,0.00015446,45319,0.0001515,0.00015446,40,1642630980000,Sell
1642631400000,0.00015446,0.0001515,0.00015446,0.0001515,573000,0.0001515,0.0001545,40,1642631340000,Buy
1642632300000,0.0001545,0.0001515,0.0001515,0.0001545,647249,0.0001515,0.0001545,40,1642632240000,Sell
1642633260000,0.0001545,0.0001515,0.0001545,0.0001515,848555,0.0001515,0.0001545,40,1642633200000,Buy
1642637040000,0.00015356,0.00015,0.00015,0.00015356,18000,0.00015,0.00015356,40,1642636980000,Sell
1642641480000,0.00015442,0.00015396,0.00015442,0.00015396,454650,0.00015352,0.00015396,40,1642641420000,Buy
1642647720000,0.00015555,0.00015536,0.00015536,0.00015555,1100,0.00015009,0.00015555,40,1642647660000,Sell
1642649100000,0.00015548,0.00015498,0.00015548,0.00015498,50000,0.00015009,0.00015498,40,1642649040000,Buy
1642650060000,0.00015537,0.00015498,0.00015498,0.00015537,386,0.0001529,0.00015537,40,1642650000000,Sell
1642652700000,0.00015604,0.0001557,0.00015604,0.0001557,7100,0.0001539,0.0001557,40,1642652640000,Buy
1642655880000,0.00015604,0.0001557,0.0001557,0.00015604,102281,0.0001539,0.00015604,40,1642655820000,Sell
1642665060000,0.00015678,0.0001562,0.00015678,0.0001562,106402,0.0001539,0.0001562,40,1642665000000,Buy
1642672380000,0.00015655,0.0001532,0.0001532,0.00015655,338,0.0001532,0.00015655,40,1642672320000,Sell
1642676400000,0.0001574,0.00015705,0.0001574,0.00015705,26233,0.0001532,0.00015705,40,1642676340000,Buy
1642677900000,0.0001561,0.0001501,0.0001501,0.0001561,9609,0.0001501,0.0001561,40,1642677840000,Sell
1642681440000,0.0001561,0.00015549,0.0001561,0.00015549,200000,0.00015122,0.00015549,40,1642681380000,Buy
1642681800000,0.0001564,0.000156,0.000156,0.0001564,640812,0.00015122,0.0001564,40,1642681740000,Sell
1642684980000,0.00015616,0.00015547,0.00015616,0.00015547,41650,0.00015122,0.00015547,40,1642684920000,Buy
1642688160000,0.0001576,0.00015062,0.00015062,0.0001576,300,0.00015062,0.0001576,40,1642688100000,Sell
1642689960000,0.00015761,0.00015063,0.00015761,0.00015063,3146,0.00015063,0.00015761,40,1642689900000,Buy
1642691160000,0.0001585,0.00015762,0.00015762,0.0001585,173000,0.00015102,0.0001585,40,1642691100000,Sell
1642692600000,0.00015981,0.00015981,0.00015981,0.00015981,1600,0.00015103,0.00015981,40,1642692540000,Buy
1642704420000,0.000157,0.0001471,0.0001471,0.000157,10000,0.00014709,0.000157,40,1642704360000,Sell
1642705260000,0.0001555,0.00014834,0.0001555,0.00014834,872,0.00014834,0.00015549,40,1642705200000,Buy
1642705620000,0.00015539,0.0001465,0.0001465,0.00015539,15,0.00014639,0.00015539,40,1642705560000,Sell
1642706760000,0.00015532,0.0001477,0.00015532,0.0001477,907,0.0001477,0.00015532,40,1642706700000,Buy
1642709160000,0.00015599,0.00015519,0.00015519,0.00015599,517012,0.00015,0.00015599,40,1642709100000,Sell
1642709520000,0.00015599,0.00015,0.00015599,0.00015,1500,0.00015,0.00015599,40,1642709460000,Buy
1642711020000,0.0001558,0.00014879,0.00014879,0.0001558,17900,0.00014879,0.0001558,40,1642710960000,Sell
1642714860000,0.00015581,0.00015487,0.00015581,0.00015487,125330,0.0001488,0.00015487,40,1642714800000,Buy
